bucket_id,cluster_id,weight
220,15,1.0
221,15,1.0
222,15,1.0
223,1,1.0
224,1,1.0
225,43,1.0
226,1,1.0
227,1,1.0
228,1,1.0
229,1,1.0
230,4,1.0
231,4,1.0
232,12,1.0
233,20,1.0
234,5,1.0
235,1,1.0
236,3,1.0
237,1,1.0
238,28,1.0
239,28,1.0
240,28,1.0
241,20,1.0
242,20,1.0
243,20,1.0
244,1,1.0
245,1,1.0
246,21,1.0
247,16,1.0
248,20,1.0
249,20,1.0
250,13,1.0
251,28,1.0
252,20,1.0
253,16,1.0
254,1,1.0
255,1,1.0
256,1,1.0
257,1,1.0
258,4,1.0
259,4,1.0
260,1,1.0
261,11,1.0
262,20,1.0
263,30,1.0
264,11,1.0
265,4,1.0
266,20,1.0
267,20,1.0
268,20,1.0
269,17,1.0
270,20,1.0
271,11,1.0
272,11,1.0
273,11,1.0
274,1,1.0
275,41,1.0
276,1,1.0
277,1,1.0
278,1,1.0
279,1,1.0
280,1,1.0
281,21,1.0
282,37,1.0
283,21,1.0
284,21,1.0
285,11,1.0
286,1,1.0
287,11,1.0
288,11,1.0
289,1,1.0
290,3,1.0
291,11,1.0
292,20,1.0
293,11,1.0
294,34,1.0
295,11,1.0
296,11,1.0
297,1,1.0
298,1,1.0
299,1,1.0
300,1,1.0
301,11,1.0
302,1,1.0
303,1,1.0
304,28,1.0
305,28,1.0
306,21,1.0
307,11,1.0
308,11,1.0
309,11,1.0
310,11,1.0
311,11,1.0
312,20,1.0
313,16,1.0
314,1,1.0
315,1,1.0
316,21,1.0
317,1,1.0
318,1,1.0
319,1,1.0
320,1,1.0
321,1,1.0
322,1,1.0
323,1,1.0
324,3,1.0
325,1,1.0
326,37,1.0
327,21,1.0
328,1,1.0
329,1,1.0
330,6,1.0
331,4,1.0
332,11,1.0
333,33,1.0
334,1,1.0
335,31,1.0
336,11,1.0
337,1,1.0
338,1,1.0
339,1,1.0
340,1,1.0
341,13,1.0
342,3,1.0
343,1,1.0
344,31,1.0
345,11,1.0
346,11,1.0
347,1,1.0
348,1,1.0
349,1,1.0
350,21,1.0
351,1,1.0
352,1,1.0
353,1,1.0
354,1,1.0
355,1,1.0
356,31,1.0
357,31,1.0
358,1,1.0
359,1,1.0
360,1,1.0
361,3,1.0
362,1,1.0
363,1,1.0
364,1,1.0
365,1,1.0
366,1,1.0
367,21,1.0
368,11,1.0
369,4,1.0
370,1,1.0
371,1,1.0
372,1,1.0
373,6,1.0
374,4,1.0
375,1,1.0
376,11,1.0
377,21,1.0
378,1,1.0
379,24,1.0
380,11,1.0
381,1,1.0
382,11,1.0
383,31,1.0
384,11,1.0
385,1,1.0
386,1,1.0
387,1,1.0
388,1,1.0
389,1,1.0
390,4,1.0
391,1,1.0
392,1,1.0
393,11,1.0
394,1,1.0
395,37,1.0
396,1,1.0
397,3,1.0
398,1,1.0
399,4,1.0
400,1,1.0
401,32,1.0
402,32,1.0
403,4,1.0
404,1,1.0
